variant,seed,macro_auc,macro_f1_optimal,macro_f1_fixed,auc_ecg_only,auc_fused_only,auc_meta_disabled,delta_meta_auc,w_fused,auc_NORM,f1_NORM,threshold_NORM,auc_MI,f1_MI,threshold_MI,auc_STTC,f1_STTC,threshold_STTC,auc_CD,f1_CD,threshold_CD,auc_HYP,f1_HYP,threshold_HYP
demo,2030,0.9265296132624808,0.7439911185317752,0.7406263662055825,0.9260617842824214,0.9265296132624808,0.9262072556364818,0.00032235762599908124,1.0,0.9466099949129955,0.8586337760910816,0.5600000023841858,0.9216890997352162,0.7369323050556984,0.5299999713897705,0.9362310679544978,0.7665198237885462,0.574999988079071,0.9195040938554264,0.7494780793319415,0.6800000071525574,0.9086138098542679,0.6083916083916084,0.6200000047683716
demo,2031,0.9289904820046626,0.742051859814998,0.7341092338038396,0.9281848720916015,0.9289904820046626,0.9285948574277608,0.00039562457690178743,1.0,0.9490837085524739,0.8598598598598599,0.6499999761581421,0.9255681818181818,0.7090558766859345,0.7099999785423279,0.935544346739276,0.7686768676867687,0.6499999761581421,0.9171918236609681,0.7531380753138075,0.7400000095367432,0.917564349252413,0.6195286195286195,0.6200000047683716
demo,2032,0.9278980097357881,0.7490289727669978,0.7422394786063358,0.9274417282327704,0.9278980097357881,0.9277719472782124,0.0001260624575756264,1.0,0.9502944997288331,0.8625413320736892,0.48500001430511475,0.9294704324801413,0.7464285714285714,0.5899999737739563,0.9347425997205043,0.7651245551601423,0.6200000047683716,0.913409508737349,0.7426841574167508,0.6949999928474426,0.9115730080121129,0.6283662477558348,0.6200000047683716
demo,2033,0.926354684762644,0.7448997009470668,0.7287035935808681,0.925887953369713,0.926354684762644,0.9259097472537295,0.00044493750891450023,1.0,0.9467041675600456,0.8629032258064516,0.7699999809265137,0.9250970873786408,0.730185497470489,0.48500001430511475,0.9333743076991747,0.761012183692596,0.7099999785423279,0.9147409594026004,0.742798353909465,0.7099999785423279,0.9118569017727589,0.6275992438563327,0.7250000238418579
demo,2034,0.9275616566988536,0.742507388797703,0.7384592251586237,0.9273883685091349,0.9275616566988536,0.9276832974003819,-0.00012164070152831385,1.0,0.9469950937732541,0.8638132295719845,0.6050000190734863,0.9242486760812003,0.7152444870565676,0.7099999785423279,0.9367026165222835,0.7678075855689177,0.6349999904632568,0.920075054016148,0.75,0.7400000095367432,0.9097868431013816,0.6156716417910447,0.6800000071525574
demo,2035,0.9295051929671599,0.7481893271217241,0.7413886998066523,0.9292878541396241,0.9295051929671599,0.9297289866862787,-0.0002237937191187367,1.0,0.9499758262178332,0.8629648497198166,0.7099999785423279,0.9305825242718447,0.7427055702917772,0.6499999761581421,0.9387421785314926,0.7741935483870968,0.574999988079071,0.9180304954323187,0.7468230694037146,0.5899999737739563,0.9101949403823102,0.6142595978062158,0.6949999928474426
demo,2036,0.9270983233060563,0.7478018139311274,0.734386958378311,0.926624339798827,0.9270983233060563,0.9268451487485629,0.00025317455749340745,1.0,0.9491686321002603,0.8601716304896517,0.7400000095367432,0.9293413503971757,0.7333333333333333,0.6800000071525574,0.9327253561507902,0.7705779334500875,0.5299999713897705,0.9137281566278761,0.7510729613733905,0.7549999952316284,0.9105281212541796,0.6238532110091743,0.7250000238418579
demo,2037,0.9278265761284313,0.7431988768335517,0.7340529298010344,0.9273861948665172,0.9278265761284313,0.9274588035864173,0.0003677725420140332,1.0,0.9496041805928673,0.8602976476236198,0.5899999737739563,0.9236385701676963,0.7152073732718894,0.6650000214576721,0.9354768191531125,0.7706255666364461,0.6200000047683716,0.9174168909442401,0.751101321585903,0.7850000262260437,0.9129964197842408,0.6187624750499002,0.7699999809265137
demo,2038,0.9259502473332123,0.7412084295014517,0.7249924982579069,0.9260313695012543,0.9259502473332123,0.9257761324333167,0.00017411489989560547,1.0,0.9473608536077793,0.8628404669260701,0.6349999904632568,0.9230814210061782,0.7232597623089984,0.42500001192092896,0.9362436578434435,0.765639589169001,0.7250000238418579,0.9149837951556044,0.7448132780082988,0.6499999761581421,0.9080815090530566,0.6094890510948905,0.7250000238418579
demo,2039,0.9282710661490523,0.7437258834371602,0.7359594091130751,0.928765788984417,0.9282710661490523,0.928911560181929,-0.0006404940328766928,1.0,0.9485195134973787,0.8580765639589168,0.4699999988079071,0.9272429390997351,0.7218181818181818,0.6499999761581421,0.9360742666103554,0.7651376146788991,0.6499999761581421,0.9212951556044123,0.7524366471734892,0.6200000047683716,0.9082234559333797,0.621160409556314,0.6200000047683716
